,perturbation,n,r2,fid
44,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,3619,0.8847447880713629,1.1940805904330958
45,O=S(=O)([O-])CCS.[Na+],3615,0.8580561294505742,0.39587057146716376
46,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,3605,0.862128277698085,0.36212945548045994
47,O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1,3601,0.8706329312082579,0.3665196138894764
48,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,3600,0.8542437833484676,0.411191956452587
49,O=c1ccc2ccc(O)c(O)c2o1,3588,0.8126808393694273,0.39460720997265497
50,CN(C)c1nc(N(C)C)nc(N(C)C)n1,3572,0.8610903937257287,0.40420618166451305
51,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,3566,0.8649447321978174,0.41243028795964065
52,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,3556,0.8345392235482962,0.8866105842123488
53,COc1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,3551,0.877893938484224,0.41455355520298554
54,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,3544,0.8662284659408643,0.37987593707289946
55,CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1,3539,0.8765308200638058,0.38712439337154336
56,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,3539,0.8645817626859797,0.4322360950632067
57,CCCC(CCC)C(=O)[O-].[Na+],3537,0.8760340474528852,0.41539814703062916
58,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,3530,0.8578419909104531,0.409310281494772
