,perturbation,n,r2,fid
50,CDIPT,469,0.9806804749525994,0.7334564355891704
51,CORO1B,461,0.9946803713219214,0.17216125963005524
52,ABL2,459,0.9949272653845546,0.14041548132035153
53,CHMP7,458,0.995498304581147,0.17121282538692917
54,COASY,456,0.9948974845798523,0.09785867583119767
55,DENND4B,456,0.9959984262572055,0.1472674807101697
56,CUL1,455,0.9923949933183844,0.22810010011698978
57,ARF5,451,0.996363411246975,0.13783836276653538
58,CSH2,451,0.9930875073952007,0.09126029762940568
59,CPSF3,450,0.9873466021278722,1.755115949119336
60,ACTR1A,450,0.9937166248550195,0.14949097783818743
61,C1QTNF4,445,0.9953611464940695,0.13927244747127965
62,ARVCF,444,0.9953818305414804,0.18355430566210806
63,C22orf39,444,0.9929228762303222,0.15361902597122423
64,CCNB1,444,0.9945773770174271,0.14131902163470755
65,AP1B1,442,0.9952861426024644,0.1179618819301993
66,ARHGAP11B,442,0.9924930985407898,0.13454331257170438
67,DGKH,441,0.9977408605484532,0.1434582574010257
68,CRK,441,0.9953587107357346,0.12139376142422265
69,ARX,438,0.9941445849014252,0.1495902375396625
70,DCAKD,434,0.9958564000870086,0.1648247567910932
71,DHX36,434,0.9795973167836743,1.1491365278572339
72,CALCOCO2,433,0.9955373002421146,0.11284664302047531
73,BOD1L1,432,0.9824391468342082,0.13214008062275262
74,CNN1,431,0.99393769017957,0.17775064916995298
75,CDK11A,431,0.9953417254371326,0.1298035713176997
76,DENND2D,430,0.9912351819754307,0.19303793902478183
77,CCNL1,426,0.9887424861723941,0.13581750607986542
78,BHLHE40,423,0.991999208332881,0.3831374094048847
79,C9orf78,422,0.9891388099224837,0.1717620625190257
80,DBNDD2,421,0.991995199601138,0.12277426661306556
81,ACOT12,421,0.9957745555550427,0.15703828491358607
82,DCAF6,419,0.9901145433215062,0.18773017176840945
83,AKNA,416,0.9904521874915444,0.16872714782079967
84,COMMD6,416,0.995805661942547,0.15881867615666856
85,DGKQ,415,0.9983220255299426,0.08229818381640897
86,ATRX,412,0.9957633913892024,0.12787849311652266
87,BLOC1S3,411,0.9930087049032948,0.13927405109723878
88,AAAS,410,0.9857234442073028,0.16153521911266466
89,CKAP5,410,0.9923079655937308,0.18515084486308808
90,CLASP2,407,0.9937518946591186,0.12842077391680284
91,ACTR8,407,0.9927118173381508,0.5610971884938536
92,COA5,405,0.993926415557261,0.29249517641499523
93,ACSL1,405,0.9939543920960442,0.0947774190095867
94,CERCAM,403,0.9958364767519302,0.12261742932367348
95,ADRM1,402,0.9904805026702997,0.1303797184797002
96,DDA1,401,0.9954460494762043,0.19716520464770504
97,DHODH,400,0.9854842400493211,0.3848361420196209
98,DENR,399,0.9905276141637295,0.43377869937347135
99,COLEC11,398,0.9951172629611719,0.19051314517890283
100,DNAJB11,398,0.9935321462887616,0.12550616306245566
101,C14orf93,398,0.9914814429173342,0.19649392602358873
102,CLU,397,0.9913431044762755,0.16614785885076877
103,ARL2BP,397,0.9920883424822647,0.1516762299875989
104,BRAT1,394,0.9960543133879002,0.10173886929574927
105,ADAR,393,0.9932884249531913,0.1322070094582415
106,CDPF1,392,0.9931064593868618,0.1517251415274803
107,CCAR2,391,0.9949050249671938,0.12728632053552857
108,BRK1,390,0.9942239998448547,0.12652023508672272
109,ARFRP1,390,0.9906445536320385,0.13693195067001263
110,C6orf15,388,0.9945549477575194,0.1589073623429762
111,BAZ2B,388,0.990040247918538,0.16581051056288132
112,DIDO1,388,0.9955153248171783,0.14618962376463074
113,A1BG,386,0.9908749145000337,0.12662419119850377
114,ARRDC2,385,0.9933334755057577,0.14492174565141624
115,BRI3BP,385,0.9934980816367328,0.195155829729865
116,ATP6AP2,383,0.9925693560349221,0.28088918160109166
117,COX20,381,0.9905064114076229,0.1620955343914119
118,ATP13A2,381,0.992715580511887,0.10728455299048001
119,BAX,381,0.9890335013711031,0.10316799274705701
120,ARPC4,380,0.9959477952689839,0.26987258428978045
