,perturbation,n,r2,fid
73,TBC1D24,564,0.9908625099219889,0.19230238180790948
74,RBL2,563,0.9907964587150883,0.13782186339796532
75,NKX2-8,563,0.9905417051724229,0.1353491827386275
76,MKNK2,563,0.9909417814212715,0.11246802162691871
77,RHOQ,562,0.9899070341073449,0.1519213858305264
78,HSD17B7,559,0.9908698785168095,0.12438850601922624
79,HLCS,557,0.9899467362797261,0.11420083561576
80,TUT1,552,0.9901670647230392,0.1102686947247804
81,NCBP2,546,0.9745578859116211,1.1676788725738643
82,PPP1CA,545,0.9906967730898105,0.09134550966700239
83,ZNF43,541,0.9912442800206538,0.07645169302005961
84,SEMA4C,540,0.9910877836044032,0.08014404465578018
85,TSEN34,539,0.9917098006272059,0.06512663052962786
86,FAHD2A,534,0.9910802776597174,0.10993120538020307
87,ZSCAN18,532,0.9909940272008901,0.10127942707588389
88,TEX264,529,0.9916496953448093,0.09414096373896186
89,PDCD5,526,0.9898751709070172,0.1505126878288543
90,RNF207,526,0.9916792335535279,0.08768428942780737
91,ISL1,524,0.9910928055115796,0.1361623521139652
92,HLF,521,0.990789587866829,0.10336460259125246
93,HMGB1,520,0.9905487729056764,0.1633329703617985
94,SH3GLB1,520,0.9895389752674453,0.14625639779613842
95,UBE2L3,519,0.9878955403430978,0.1701121142882389
96,PATZ1,518,0.9904807487325712,0.1358141573709375
97,ESRRG,518,0.9909770966851821,0.15671602966574127
98,PPFIA3,517,0.990676913949404,0.0957940787742313
99,PLD3,516,0.9897228579893274,0.11240808560347304
100,PPP1R18,514,0.9904838695025727,0.17706516293982588
101,SEC14L1,513,0.9903570743649419,0.12921434739688387
102,ZBTB7C,513,0.990911577116029,0.12949858815615833
103,SLC29A1,513,0.9898901771809221,0.14513792757249355
104,OSTC,513,0.990386064162059,0.1451311910086286
105,RNF14,512,0.9896663422141578,0.0946818903465978
106,ISCA2,511,0.9858716972368397,0.3860840411620039
107,UBTF,510,0.9901734955559305,0.1338496594186207
108,NENF,510,0.9889074602477597,0.14494818342074112
